Number,MaxCyclomatic,MaxNesting,CountClassCoupled,CountDeclMethod,RatioCommentToCode,CountLineCode,CountLineComment,CountLineBlank,Number
1,1.0,0.0,0.0,6.0,1.3,14.0,18.25,5.5,1.0
3,4.0,2.0,1.0,7.0,0.0,40.0,0.0,6.0,3.0
6,2.25,0.5,0.75,3.0,0.7925,15.0,11.5,3.0,6.0
7,5.5,3.0,0.25,3.0,0.6525000000000001,18.5,11.75,3.5,7.0
8,3.0,1.0,1.0,5.0,1.105,24.0,26.5,4.5,8.0
9,1.0,0.0,2.0,3.0,1.275,10.0,12.75,2.5,9.0
10,2.0,0.3333333333333333,3.0,5.0,0.37333333333333335,25.0,9.333333333333334,4.333333333333333,10.0
11,3.6666666666666665,2.0,1.0,4.0,0.7166666666666667,19.333333333333332,14.333333333333334,3.3333333333333335,11.0
13,4.0,3.0,1.5,5.0,1.205,22.0,26.5,4.5,13.0
14,1.0,0.0,0.0,7.0,0.31666666666666665,32.666666666666664,13.0,6.333333333333333,14.0
16,8.0,3.0,1.0,4.0,0.0,53.0,0.0,7.0,16.0
19,4.75,3.0,1.5,3.0,0.685,17.0,11.5,4.0,19.0
24,1.5,0.5,0.5,5.0,0.8674999999999999,16.0,14.75,4.5,24.0
26,2.6666666666666665,2.3333333333333335,1.0,4.0,0.2833333333333333,31.0,9.666666666666666,4.666666666666667,26.0
27,2.0,1.0,1.0,5.0,0.0,26.5,0.0,4.0,27.0
28,2.0,1.0,1.0,5.5,0.8600000000000001,38.5,33.0,11.5,28.0
29,2.0,1.0,0.0,3.0,0.7066666666666667,16.333333333333332,12.0,2.6666666666666665,29.0
30,1.5,0.5,0.5,7.0,1.865,16.0,28.0,6.5,30.0
32,14.0,3.0,1.0,4.0,0.0,66.0,0.0,7.0,32.0
33,3.0,2.0,0.0,6.0,0.0,30.0,0.0,5.0,33.0
35,5.0,3.0,3.5,5.0,0.14500000000000002,47.25,7.0,11.25,35.0
37,5.0,2.0,1.0,4.0,0.71,42.0,30.0,8.0,37.0
41,5.5,4.5,1.0,4.0,0.4,32.5,12.75,4.25,41.0
42,5.0,1.3333333333333333,0.0,5.0,0.5299999999999999,33.666666666666664,17.333333333333332,8.0,42.0
45,2.0,1.0,0.3333333333333333,6.0,0.24333333333333332,20.666666666666668,6.333333333333333,5.0,45.0
46,5.333333333333333,4.333333333333333,2.0,3.0,0.23666666666666666,30.333333333333332,7.333333333333333,3.0,46.0
47,4.333333333333333,2.0,1.0,4.0,0.54,21.666666666666668,11.333333333333334,5.0,47.0
50,4.0,2.0,0.5,3.0,0.885,26.5,23.0,4.0,50.0
52,5.0,1.3333333333333333,1.0,5.0,0.5,30.0,13.666666666666666,4.333333333333333,52.0
56,6.0,2.0,1.0,6.0,0.0,38.0,0.0,5.0,56.0
60,1.0,0.0,0.0,6.0,0.5,34.0,17.0,5.5,60.0
63,2.0,1.0,1.0,3.0,1.0,15.5,15.0,5.5,63.0
64,1.0,0.0,1.0,6.0,1.1175000000000002,19.0,21.25,5.25,64.0
68,2.0,1.0,1.0,4.0,1.31,35.0,46.0,4.0,68.0
69,3.25,2.25,1.5,3.0,0.59,20.75,12.0,5.0,69.0
70,2.0,1.0,1.0,4.0,0.6625000000000001,17.0,11.25,3.25,70.0
71,7.0,3.0,1.3333333333333333,4.333333333333333,0.20333333333333334,52.0,11.333333333333334,10.666666666666666,71.0
72,1.0,0.0,1.0,10.0,0.0,24.0,0.0,9.0,72.0
73,2.0,1.0,0.0,6.0,0.0,28.5,0.0,5.0,73.0
76,2.0,1.0,0.0,6.0,0.7775000000000001,19.5,14.75,6.5,76.0
77,3.0,2.0,0.0,5.0,0.87,38.0,33.0,7.0,77.0
79,3.0,0.0,0.0,7.0,0.6666666666666666,20.0,13.333333333333334,6.333333333333333,79.0
80,3.0,1.0,1.0,4.0,0.38999999999999996,30.0,11.666666666666666,5.666666666666667,80.0
83,1.0,0.3333333333333333,0.0,5.0,0.31,41.333333333333336,13.333333333333334,7.666666666666667,83.0
84,1.0,1.0,2.0,5.0,2.16,19.0,41.0,5.0,84.0
86,5.75,2.25,1.5,4.0,0.4575,25.0,12.5,4.5,86.0
87,1.0,0.0,0.0,8.0,0.84,21.666666666666668,17.666666666666668,7.333333333333333,87.0
91,1.0,0.0,0.0,4.0,0.0,13.0,0.0,3.0,91.0
93,1.0,0.0,2.0,4.0,0.0,15.5,0.0,3.5,93.0
95,2.0,1.0,0.0,7.0,0.03,31.0,1.0,6.0,95.0
97,7.0,4.0,3.6666666666666665,3.0,0.16,47.333333333333336,7.333333333333333,8.0,97.0
98,4.0,3.0,1.0,5.0,1.58,36.0,57.0,5.0,98.0
99,3.0,3.0,0.0,5.0,0.0,31.0,0.0,4.0,99.0
