class,total,failures,errors,passed,percentage_passed,,,,
MetricsCalculator,30,0,25,5,16.66666667,,,,AVERAGE PASS RATE
Thermostat,36,5,3,28,77.77777778,,,,59.81001328
ImageProcessor,26,0,0,26,100,,,,
SQLQueryBuilder,25,18,0,7,28,,,,
PushBoxGame,16,6,8,2,12.5,,,,
IPAddress,16,2,0,14,87.5,,,,
DocFileHandler,21,0,21,0,0,,,,
NumberWordFormatter,28,25,1,2,7.142857143,,,,
MinesweeperGame,22,7,3,12,54.54545455,,,,
Server,26,4,11,11,42.30769231,,,,
Warehouse,32,0,1,31,96.875,,,,
KappaCalculator,11,6,0,5,45.45454545,,,,
AccessGatewayFilter,19,2,14,3,15.78947368,,,,
URLHandler,32,12,0,20,62.5,,,,
MahjongConnect,28,7,0,21,75,,,,
JobMarketplace,36,24,5,7,19.44444444,,,,
Interpolation,13,0,7,6,46.15384615,,,,
ComplexCalculator,21,0,0,21,100,,,,
NLPDataProcessor,11,8,0,3,27.27272727,,,,
UserLoginDB,21,15,22,0,0,,,,
AvgPartition,11,0,0,11,100,,,,
ShoppingCart,23,1,0,22,95.65217391,,,,
BankAccount,22,0,0,22,100,,,,
WeatherSystem,22,0,17,5,22.72727273,,,,
SignInSystem,26,0,0,26,100,,,,
MusicPlayer,42,10,3,29,69.04761905,,,,
PDFHandler,3,0,0,3,100,,,,
RPGCharacter,26,6,0,20,76.92307692,,,,
ExcelProcessor,19,12,5,2,10.52631579,,,,
ExpressionCalculator,37,13,11,13,35.13513514,,,,
BigNumCalculator,17,0,0,17,100,,,,
ArgumentParser,21,3,0,18,85.71428571,,,,
BitStatusUtil,21,0,6,15,71.42857143,,,,
LongestWord,10,2,0,8,80,,,,
EncryptionUtils,18,4,0,14,77.77777778,,,,
Classroom,24,0,24,0,0,,,,
GomokuGame,16,0,0,16,100,,,,
UrlPath,19,0,8,11,57.89473684,,,,
DataStatistics4,21,10,3,8,38.0952381,,,,
JSONProcessor,16,0,0,16,100,,,,
DatabaseProcessor,21,0,16,5,23.80952381,,,,
Order,17,0,17,0,0,,,,
PersonRequest,16,0,0,16,100,,,,
StudentDatabaseProcessor,16,0,16,0,0,,,,
Snake,21,0,16,5,23.80952381,,,,
BlackjackGame,18,0,1,17,94.44444444,,,,
CombinationCalculator,26,10,5,11,42.30769231,,,,
AssessmentSystem,31,6,2,23,74.19354839,,,,
FitnessTracker,16,12,0,4,25,,,,
PageUtil,16,11,0,5,31.25,,,,
CookiesUtil,19,0,7,12,63.15789474,,,,
CamelCaseMap,37,0,1,36,97.2972973,,,,
HRManagementSystem,28,8,0,20,71.42857143,,,,
BinaryDataProcessor,21,6,0,15,71.42857143,,,,
SQLGenerator,32,32,0,0,0,,,,
RegexUtils,51,10,0,41,80.39215686,,,,
StockPortfolioTracker,38,0,36,2,5.263157895,,,,
DecryptionUtils,19,6,0,13,68.42105263,,,,
Chat,22,0,9,13,59.09090909,,,,
BalancedBrackets,15,0,0,15,100,,,,
NumericEntityUnescaper,17,4,0,13,76.47058824,,,,
DataStatistics2,31,0,0,31,100,,,,
EmailClient,26,4,14,8,30.76923077,,,,
VendingMachine,27,6,0,21,77.77777778,,,,
SplitSentence,16,3,0,13,81.25,,,,
ClassRegistrationSystem,16,1,5,10,62.5,,,,
BookManagementDB,7,1,9,0,0,,,,
Calculator,19,0,2,17,89.47368421,,,,
BoyerMooreSearch,16,4,1,11,68.75,,,,
CSVProcessor,17,6,0,11,64.70588235,,,,
AreaCalculator,26,4,0,22,84.61538462,,,,
IpUtil,16,1,0,15,93.75,,,,
MovieBookingSystem,16,5,0,11,68.75,,,,
Statistics3,36,2,9,25,69.44444444,,,,
MetricsCalculator2,20,10,8,2,10,,,,
NumberConverter,31,0,0,31,100,,,,
ArrangementCalculator,27,12,0,15,55.55555556,,,,
TriCalculator,26,5,0,21,80.76923077,,,,
NLPDataProcessor2,16,0,0,16,100,,,,
BookManagement,21,0,0,21,100,,,,
XMLProcessor,23,6,0,17,73.91304348,,,,
DiscountStrategy,26,3,16,7,26.92307692,,,,
CurrencyConverter,24,9,12,3,12.5,,,,
EightPuzzle,21,0,0,21,100,,,,
DataStatistics,16,6,0,10,62.5,,,,
TwentyFourPointGame,18,0,1,17,94.44444444,,,,
Hotel,23,2,0,21,91.30434783,,,,
TicTacToe,16,0,0,16,100,,,,
Lemmatization,16,0,0,16,100,,,,
Manacher,11,1,1,9,81.81818182,,,,
ChandrasekharSieve,11,6,0,5,45.45454545,,,,
VectorUtil,22,5,11,6,27.27272727,,,,
TextFileProcessor,21,6,0,15,71.42857143,,,,
TimeUtils,36,0,31,5,13.88888889,,,,
MovieTicketDB,16,0,32,0,0,,,,
HtmlUtil,23,17,0,6,26.08695652,,,,
Words2Numbers,13,1,0,12,92.30769231,,,,
